,category,sub_category,crimeaditionalinfo
1098,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Someone is using my photos to create a fake profile on social media and is messaging my friends with inappropriate content. I need this to stop.
1336,Online Gambling  Betting,Online Gambling  Betting,"Sir, mujhe ek app ke through gambling ka shauk laga tha, lekin ab mujhe samajh aaya ki yeh sab fraud hai. Kya aap meri madad kar sakte hain?"
631,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mujhe ek call aayi thi jisme bola gaya tha ki mujhe apne bank details dene hain. Maine diya aur ab mujhe pata chala ki mera account hack ho gaya hai.
95,Report Unlawful Content,Against Interest of sovereignty or integrity of India,"Ek Facebook page hai ""India Breakers"" jo hamare sarkar ke khilaf propaganda phela raha hai. Yeh log desh ko khilaf bhadka rahe hain. Kripya iski jaanch karein."
534,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Maine ek loan app se paise liye the, lekin ab wo log mujhe dhamki de rahe hain ki agar main unhe paise nahi doonga toh meri personal information viral kar denge. Kripya kuch karein."
531,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,Mera Gmail hack ho gaya hai. Koi mujhe baar baar call karke mera password badalne ki koshish kar raha hai. Uska naam hai Rahul aur wo Delhi se hai. Kripya meri madad karein.
1283,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Sir, mujhe ek call aayi thi jismein kisi ne kaha ki wo mujhe loan dene wale hain. Unhone mere personal details aur processing fee maangi. Maine nahi di, lekin mujhe lagta hai wo fraud hai."
837,Online Cyber Trafficking,Online Trafficking,Ek aadmi mujhe keh raha hai ki wo mera dost hai aur mujhe paise bhejne ke liye keh raha hai. Usne mere personal details maange hain. Main isse bahut pareshan hoon.
395,Online and Social Media Related Crime,EMail Phishing,"Mujhe ek email aayi thi jo Amazon se lag rahi thi, unhone mere login details maange. Maine kuch nahi diya, par mujhe lagta hai ki meri information khatre mein hai."
344,Online and Social Media Related Crime,EMail Phishing,"I received a phishing email that looks like it’s from my credit card company, asking for my account number. I didn’t respond, but I’m concerned."
808,Online Cyber Trafficking,Online Trafficking,Ek aadmi mujhe keh raha hai ki wo mera dost hai aur mujhe paise bhejne ke liye keh raha hai. Usne mere personal details maange hain. Main isse bahut pareshan hoon.
675,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mera Instagram account hack ho gaya hai. Maine kisi ko apna password diya tha aur ab wo mera account use kar raha hai. Please help me.
1092,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"Mujhe ek unknown number se call aaya, jisme wo mujhe gandi galiyan de rahe the. Maine unhe block kar diya, lekin wo naye number se call kar rahe hain. Kya karun?"
1328,Online Gambling  Betting,Online Gambling  Betting,"Sir, main ek gambling site par gaya tha jahan mujhe paise jeetne ka mauka mila. Maine bahut paise invest kiye, lekin ab mujhe kuch nahi mil raha. Please help!"
733,Online and Social Media Related Crime,Online Matrimonial Fraud,"Hello, I was chatting with a girl on a matrimonial site who said she was in trouble and needed money for her brother's treatment. I transferred Rs 25,000 to her account, but now she has blocked me. Please investigate this fraud."
415,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
923,Cyber Terrorism,Cyber Terrorism,"Ek aadmi mujhe WhatsApp par message karke keh raha hai ki uske paas meri personal photos hain aur agar main paisa nahi doonga, toh wo unhe sabko dikha dega. Yeh bahut serious hai!"
563,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Maine ek suspicious link par click kiya, aur ab mera computer bahut slow ho gaya hai. Mujhe lagta hai ki mujhe virus ho gaya hai. Kya aap madad kar sakte hain?"
682,Hacking  Damage to computercomputer system etc,Website DefacementHacking,"Mere dost ne mujhe ek link bheja tha Facebook pe, bola ki mujhe kuch verify karna hai. Maine link pe click kiya aur ab mera account hack ho gaya hai. Kripya meri madad karein."
1466,Child Pornography CPChild Sexual Abuse Material CSAM,,Koi mujhe WhatsApp par messages bhej raha hai jo inappropriate hain aur keh raha hai ki agar main nahi maanungi toh woh meri pictures share karega. Mujhe madad chahiye.
232,Online and Social Media Related Crime,Intimidating Email,I received an email from a person named Suresh who is threatening to expose my private life if I don't pay him. I have no idea who he is. Please investigate this matter. The email is suresh.threats@gmail.com.
1065,Online and Social Media Related Crime,Provocative Speech for unlawful acts,I received a threatening message on Facebook from someone I don't know. They are saying they will harm my family if I don't pay them.
243,Online and Social Media Related Crime,Intimidating Email,I am getting continuous threatening emails from an unknown sender. They are saying they will harm my family if I don’t comply. The email ID is dangeralert999@gmail.com. Please take action.
151,Ransomware,Ransomware,"My computer got infected with ransomware while I was browsing online. Now, all my files are locked and I can't access them. The hackers are demanding a ransom in Bitcoin. Please assist me in retrieving my data as it contains sensitive information."
1301,Online Gambling  Betting,Online Gambling  Betting,"Sir, mujhe ek app ke through gambling ka shauk laga tha, lekin ab mujhe samajh aaya ki yeh sab fraud hai. Maine bahut paise kho diye hain. Kya aap meri madad kar sakte hain?"
1440,Child Pornography CPChild Sexual Abuse Material CSAM,,"Ek ladki mujhe Instagram par message kar rahi hai aur keh rahi hai ki agar main usse nahi milti toh wo meri photos viral kar dega. Yeh bahut serious hai, please madad karein."
926,Cyber Terrorism,Cyber Terrorism,"Mujhe ek loan app se paise mile the, ab wo log mujhe har din call kar rahe hain aur mere contacts ko bhi pareshan kar rahe hain. Unka kehna hai ki agar main payment nahi karunga, toh wo sabko bata denge. Kya karun?"
